Company,Ticker,Market Cap,Price
APPLE INC,AAPL,2062000,123.54
MICROSOFT CORP.,MSFT,1851000,245.71
"AMAZON.COM, INC.",AMZN,1607000,3187.01
ALPHABET INC (GOOGLE) CLASS C,GOOG,1594000,2404.61
ALPHABET INC (GOOGLE) CLASS A,GOOGL,1590000,2347.58
"FACEBOOK, INC.",FB,924475,326.04
BERKSHIRE HATHAWAY INC. NEW,BRK.B,667121,291.97
"TESLA, INC.",TSLA,551834,572.84
JP MORGAN CHASE & CO.,JPM,503018,166.17
VISA INC.,V,486512,228.11
JOHNSON & JOHNSON,JNJ,437249,166.04
NVIDIA CORPORATION,NVDA,422886,678.79
WALMART INC.,WMT,398389,141.60
UNITEDHEALTH GROUP INCORPORATED,UNH,384993,407.96
BANK OF AMERICA CORPORATION,BAC,370623,43.25
MASTERCARD INCORPORATED,MA,358581,361.82
PROCTER & GAMBLE COMPANY (THE),PG,332592,135.85
"HOME DEPOT, INC. (THE)",HD,331131,311.43
WALT DISNEY COMPANY (THE),DIS,320216,176.24
"PAYPAL HOLDINGS, INC.",PYPL,302833,257.79
COMCAST CORPORATION,CMCSA,259072,56.39
EXXON MOBIL CORPORATION,XOM,259008,61.18
COCA-COLA COMPANY (THE),KO,239902,55.64
VERIZON COMMUNICATIONS INC.,VZ,235901,56.98
ADOBE INC.,ADBE,235721,493.14
ORACLE CORPORATION,ORCL,233826,81.09
INTEL CORPORATION,INTC,227097,56.24
"CISCO SYSTEMS, INC.",CSCO,224744,53.33
"PFIZER, INC.",PFE,218142,38.97
"NETFLIX, INC.",NFLX,217015,489.43
SALESFORCE.COM INC,CRM,212888,230.84
"NIKE, INC.",NKE,211983,134.17
AT&T INC.,T,208702,29.23
CHEVRON CORPORATION,CVX,207946,107.59
"PEPSICO, INC.",PEP,204025,147.67
ABBVIE INC.,ABBV,198188,112.21
ELI LILLY AND COMPANY,LLY,194394,202.70
ABBOTT LABORATORIES,ABT,194029,109.20
WELLS FARGO & COMPANY,WFC,192046,46.46
BROADCOM INC.,AVGO,189779,464.80
"MERCK & COMPANY, INC.",MRK,187144,73.91
ACCENTURE PLC,ACN,185986,279.63
"UNITED PARCEL SERVICE, INC.",UPS,184536,211.98
"T-MOBILE US, INC.",TMUS,177453,142.32
THERMO FISHER SCIENTIFIC INC,TMO,175027,445.33
MORGAN STANLEY,MS,173686,93.35
MCDONALD'S CORPORATION,MCD,173448,232.45
DANAHER CORPORATION,DHR,171907,241.01
TEXAS INSTRUMENTS INCORPORATED,TXN,171775,186.00
COSTCO WHOLESALE CORPORATION,COST,169875,383.87
MEDTRONIC PLC.,MDT,165578,123.07
"CITIGROUP, INC.",C,164599,79.63
LINDE PLC,LIN,155189,298.32
PHILIP MORRIS INTERNATIONAL INC,PM,151755,97.37
UNION PACIFIC CORPORATION,UNP,149435,224.95
QUALCOMM INCORPORATED,QCOM,148648,131.78
BOEING COMPANY (THE),BA,146390,250.32
BRISTOL-MYERS SQUIBB COMPANY,BMY,144759,64.80
CHARLES SCHWAB CORPORATION (THE),SCHW,143381,76.01
"NEXTERA ENERGY, INC.",NEE,141950,72.37
AMGEN INC.,AMGN,135445,235.74
"LOWE'S COMPANIES, INC.",LOW,134521,190.30
"BLACKROCK, INC.",BLK,134377,881.01
RAYTHEON TECHNOLOGIES CORPORATION,RTX,134358,88.68
"CATERPILLAR, INC.",CAT,133572,243.84
"GOLDMAN SACHS GROUP, INC. (THE)",GS,132249,388.72
AMERICAN EXPRESS COMPANY,AXP,132159,164.52
STARBUCKS CORPORATION,SBUX,130933,111.12
INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,130052,145.55
"CHARTER COMMUNICATIONS, INC.",CHTR,127470,675.64
"APPLIED MATERIALS, INC.",AMAT,125151,136.38
GENERAL ELECTRIC COMPANY,GE,123691,14.09
INTUIT INC.,INTU,123120,450.56
AMERICAN TOWER CORPORATION (REIT) REIT,AMT,119553,263.35
3M COMPANY,MMM,118062,203.67
CVS HEALTH CORPORATION,CVS,114620,87.06
TARGET CORPORATION,TGT,113695,229.18
DEERE & COMPANY,DE,112496,358.91
"ESTEE LAUDER COMPANIES, INC. (THE)",EL,109798,302.88
LOCKHEED MARTIN CORPORATION,LMT,107658,387.35
ADVANCED MICRO DEVICES INC,AMD,97542,80.28
"ANTHEM, INC.",ANTM,96869,395.64
"INTUITIVE SURGICAL, INC.",ISRG,96702,816.65
BOOKING HOLDINGS INC. COMMON STOCK,BKNG,94249,2295.81
STRYKER CORPORATION,SYK,94074,249.70
"PROLOGIS, INC. REIT",PLD,92671,121.87
"ALTRIA GROUP, INC.",MO,92125,49.78
GENERAL MOTORS COMPANY,GM,92060,63.46
"MICRON TECHNOLOGY, INC.",MU,91990,82.03
S&P GLOBAL INC.,SPGI,91867,381.35
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,90830,146.47
LAM RESEARCH CORPORATION,LRCX,90675,635.78
"SERVICENOW, INC.",NOW,90668,459.20
U.S. BANCORP,USB,90334,60.64
"MONDELEZ INTERNATIONAL, INC.",MDLZ,89536,63.74
CIGNA CORPORATION,CI,88178,256.97
CROWN CASTLE INTERNATIONAL CORP. (REIT) REIT,CCI,84411,194.91
"AUTOMATIC DATA PROCESSING, INC.",ADP,83823,196.99
"GILEAD SCIENCES, INC.",GILD,83378,66.48
"PNC FINANCIAL SERVICES GROUP, INC. (THE)",PNC,83221,195.88
ZOETIS INC.,ZTS,82524,173.82
TRUIST FINANCIAL CORPORATION,TFC,81767,60.80
FEDEX CORPORATION,FDX,81277,306.31
CONOCOPHILLIPS,COP,80250,59.47
"TJX COMPANIES, INC. (THE)",TJX,79403,65.84
CME GROUP INC.,CME,78265,217.95
DUKE ENERGY CORPORATION (HOLDING COMPANY),DUK,78206,101.67
CHUBB LIMITED,CB,77976,173.40
SHERWIN-WILLIAMS COMPANY (THE),SHW,75623,282.57
CSX CORPORATION,CSX,75513,99.70
"FISERV, INC.",FISV,75385,113.06
CAPITAL ONE FINANCIAL CORPORATION,COF,75078,166.29
ILLINOIS TOOL WORKS INC.,ITW,74049,234.42
"ACTIVISION BLIZZARD, INC",ATVI,73801,94.98
"HCA HEALTHCARE, INC.",HCA,71855,213.26
COLGATE-PALMOLIVE COMPANY,CL,71019,83.95
"MARSH & MCLENNAN COMPANIES, INC.",MMC,70874,139.37
"BECTON, DICKINSON AND COMPANY",BDX,70006,240.72
NORFOLK SOUTHERN CORPORATION,NSC,69960,279.57
SOUTHERN COMPANY (THE),SO,68109,64.46
"EQUINIX, INC. REIT",EQIX,67913,777.04
"AIR PRODUCTS AND CHEMICALS, INC.",APD,67304,304.11
FORD MTR CO DEL,F,63826,15.99
INTERCONTINENTAL EXCHANGE INC.,ICE,62805,111.60
MOODY'S CORPORATION,MCO,62577,334.28
"DOMINION ENERGY, INC.",D,61868,76.71
"FREEPORT-MCMORAN, INC.",FCX,61362,41.87
ECOLAB INC.,ECL,61148,213.85
"AUTODESK, INC.",ADSK,60401,274.47
"ANALOG DEVICES, INC.",ADI,59776,162.07
"WASTE MANAGEMENT, INC.",WM,59343,140.58
"ILLUMINA, INC.",ILMN,59069,404.58
NORTHROP GRUMMAN CORPORATION,NOC,58994,366.51
BOSTON SCIENTIFIC CORPORATION,BSX,58755,41.35
EDWARDS LIFESCIENCES CORPORATION,EW,58645,94.34
PROGRESSIVE CORPORATION (THE),PGR,58492,99.96
EMERSON ELECTRIC COMPANY,EMR,58471,97.50
"EATON CORPORATION, PLC",ETN,58348,146.42
"METLIFE, INC.",MET,58101,66.37
GLOBAL PAYMENTS INC.,GPN,57104,193.43
NEWMONT CORPORATION,NEM,56931,71.06
AON PLC,AON,56753,251.51
HUMANA INC.,HUM,55560,430.65
VERTEX PHARMACEUTICALS INCORPORATED,VRTX,54659,211.15
GENERAL DYNAMICS CORPORATION,GD,53922,190.81
"REGENERON PHARMACEUTICALS, INC.",REGN,53875,505.66
THE KRAFT HEINZ COMPANY,KHC,53806,43.99
DOW INC.,DOW,52745,70.61
SCHLUMBERGER N.V.,SLB,51067,36.52
"EOG RESOURCES, INC.",EOG,50663,86.81
PUBLIC STORAGE REIT,PSA,50392,288.85
MONSTER BEVERAGE CORPORATION,MNST,50240,95.05
DOLLAR GENERAL CORPORATION,DG,48658,206.00
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,47733,66.60
"WALGREENS BOOTS ALLIANCE, INC.",WBA,47343,54.77
KLA CORPORATION,KLAC,47330,308.78
"ROPER TECHNOLOGIES, INC.",ROP,47052,447.10
"IDEXX LABORATORIES, INC.",IDXX,46930,550.30
"CONSTELLATION BRANDS, INC.",STZ,46302,238.65
"AMERICAN INTERNATIONAL GROUP, INC. NEW",AIG,45945,53.54
THE BANK OF NEW YORK MELLON CORPORATION,BK,45777,52.20
MARRIOTT INTERNATIONAL,MAR,45720,140.40
TWITTER INC,TWTR,45501,57.01
"DUPONT DE NEMOURS, INC.",DD,45429,85.37
TE CONNECTIVITY LTD. NEW SWITZERLAND REGISTERED SHARES,TEL,45280,137.12
"L3HARRIS TECHNOLOGIES, INC.",LHX,45084,219.94
"ALIGN TECHNOLOGY, INC.",ALGN,44867,566.96
IHS MARKIT LTD.,INFO,44756,105.62
EXELON CORPORATION,EXC,44725,45.77
"IQVIA HOLDINGS, INC.",IQV,44722,233.34
"SIMON PROPERTY GROUP, INC. REIT",SPG,44414,134.06
TRANE TECHNOLOGIES PLC,TT,43850,183.36
KIMBERLY-CLARK CORPORATION,KMB,43731,129.60
EBAY INC.,EBAY,43648,64.07
"DIGITAL REALTY TRUST, INC. REIT",DLR,43579,155.43
"T. ROWE PRICE GROUP, INC.",TROW,43445,191.51
LAS VEGAS SANDS CORP.,LVS,43363,56.76
"AMERICAN ELECTRIC POWER COMPANY, INC.",AEP,42959,85.96
"PPG INDUSTRIES, INC.",PPG,42911,180.99
"PRUDENTIAL FINANCIAL, INC.",PRU,42643,108.23
"ROSS STORES, INC.",ROST,42608,119.48
"KINDER MORGAN, INC.",KMI,42506,18.77
CENTENE CORPORATION,CNC,42196,72.41
APTIV PLC,APTV,42189,155.99
"AGILENT TECHNOLOGIES, INC.",A,41552,136.37
MICROCHIP TECHNOLOGY INCORPORATED,MCHP,41497,151.71
PIONEER NATURAL RESOURCES COMPANY,PXD,41496,170.10
SEMPRA ENERGY,SRE,41481,137.01
MARATHON PETROLEUM CORPORATION,MPC,41287,63.26
BAXTER INTERNATIONAL INC.,BAX,41078,81.69
SYSCO CORPORATION,SYY,41075,80.29
BIOGEN INC.,BIIB,41034,272.55
ALLSTATE CORPORATION (THE),ALL,40788,136.26
AMPHENOL CORPORATION,APH,40662,68.04
ELECTRONIC ARTS INC.,EA,40636,141.99
"THE TRAVELERS COMPANIES, INC.",TRV,40491,161.00
PARKER-HANNIFIN CORPORATION,PH,39911,309.25
CARRIER GLOBAL CORPORATION,CARR,39739,45.73
LYONDELLBASELL INDUSTRIES NV,LYB,39407,117.86
PHILLIPS 66,PSX,39062,89.21
"GENERAL MILLS, INC.",GIS,38916,63.80
AFLAC INCORPORATED,AFL,38911,57.25
"ALEXION PHARMACEUTICALS, INC.",ALXN,38851,175.78
"SYNOPSYS, INC.",SNPS,38229,250.59
CUMMINS INC.,CMI,38154,260.97
ARCHER-DANIELS-MIDLAND COMPANY,ADM,38131,68.25
MSCI INC,MSCI,38078,461.98
BROWN FORMAN INC,BF.B,37966,81.10
XCEL ENERGY INC.,XEL,37933,70.48
"CHIPOTLE MEXICAN GRILL, INC.",CMG,37526,1333.04
HP INC.,HPQ,37488,29.93
DISCOVER FINANCIAL SERVICES,DFS,37373,122.58
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,CTSH,37341,70.80
CINTAS CORPORATION,CTAS,36861,350.88
"O'REILLY AUTOMOTIVE, INC.",ORLY,36855,528.30
CORNING INCORPORATED,GLW,36762,43.18
"PAYCHEX, INC.",PAYX,36706,101.86
"DEXCOM, INC.",DXCM,36433,376.74
TRANSDIGM GROUP INC.,TDG,36270,660.75
THE HERSHEY COMPANY,HSY,36129,174.54
"MOTOROLA SOLUTIONS, INC.",MSI,35605,209.85
"INTERNATIONA FLAVORS & FRAGRANCES, INC.",IFF,35523,142.71
"YUM! BRANDS, INC.",YUM,35367,118.72
"FORTINET, INC.",FTNT,35175,215.38
"REPUBLIC SERVICES, INC.",RSG,34740,108.89
"CADENCE DESIGN SYSTEMS, INC.",CDNS,34488,123.94
SOUTHWEST AIRLINES COMPANY,LUV,34454,58.26
HILTON WORLDWIDE HOLDINGS INC.,HLT,34296,123.13
"STANLEY BLACK & DECKER, INC.",SWK,34272,212.22
FIRST REPUBLIC BANK,FRC,34163,194.12
VALERO ENERGY CORPORATION,VLO,34058,83.32
OTIS WORLDWIDE CORPORATION,OTIS,33962,79.14
CARNIVAL CORPORATION,CCL,33913,30.67
"CORTEVA, INC.",CTVA,33892,45.98
SBA COMMUNICATIONS CORPORATION REIT,SBAC,33854,309.43
"WILLIAMS COMPANIES, INC. (THE)",WMB,33552,27.62
WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,WLTW,33371,258.74
"ZIMMER BIOMET HOLDINGS, INC.",ZBH,33345,159.94
"D.R. HORTON, INC.",DHI,32923,91.33
WELLTOWER INC. REIT,WELL,32491,76.71
PACCAR INC.,PCAR,32292,93.02
NUCOR CORPORATION,NUE,32040,107.07
SVB FINANCIAL GROUP,SIVB,32003,589.21
"ROCKWELL AUTOMATION, INC.",ROK,31856,274.44
"AMETEK, INC.",AME,31597,136.83
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG,31169,61.71
V.F. CORPORATION,VFC,31090,79.28
"XILINX, INC.",XLNX,30934,125.83
MCKESSON CORPORATION,MCK,30666,193.86
"OLD DOMINION FREIGHT LINE, INC.",ODFL,30636,264.18
