Company,Ticker,Market Cap,Price
"AMERIPRISE FINANCIAL, INC.",AMP,30578,263.82
STATE STREET CORPORATION,STT,30287,87.09
FASTENAL COMPANY,FAST,30210,52.60
"AUTOZONE, INC.",AZO,30099,1392.20
EQUITY RESIDENTIAL REIT,EQR,29920,79.51
CBRE GROUP INC,CBRE,29806,88.80
FIFTH THIRD BANCORP,FITB,29714,42.21
"AVALONBAY COMMUNITIES, INC. REIT",AVB,29701,213.10
RESMED INC.,RMD,29675,203.93
ARTHUR J. GALLAGHER & CO.,AJG,29623,144.58
"WEC ENERGY GROUP, INC.",WEC,29597,93.83
"DELTA AIR LINES, INC.",DAL,29507,46.13
"COPART, INC.",CPRT,29246,123.62
"METTLER-TOLEDO INTERNATIONAL, INC.",MTD,29210,1255.28
KROGER COMPANY (THE),KR,29141,38.49
LENNAR CORPORATION,LEN,29014,94.97
SYNCHRONY FINANCIAL,SYF,28993,49.85
"BEST BUY CO., INC.",BBY,28936,115.56
"ANSYS, INC.",ANSS,28699,329.30
"TYSON FOODS, INC.",TSN,28326,79.17
"AMERICAN WATER WORKS COMPANY, INC.",AWK,28316,156.04
WEYERHAEUSER COMPANY REIT,WY,28290,36.29
EVERSOURCE ENERGY (D/B/A),ES,28233,82.20
"EQUIFAX, INC.",EFX,27867,228.98
"VERISK ANALYTICS, INC.",VRSK,27852,171.83
"SKYWORKS SOLUTIONS, INC.",SWKS,27608,167.23
"NASDAQ, INC.",NDAQ,27578,168.06
BALL CORPORATION,BLL,27367,83.37
OCCIDENTAL PETROLEUM CORPORATION,OXY,27330,29.28
GARMIN LTD.,GRMN,27327,142.22
KANSAS CITY SOUTHERN,KSU,27174,298.83
ZEBRA TECHNOLOGIES CORPORATION,ZBRA,27079,506.04
VIACOMCBS INC.,VIAC,27024,41.58
HESS CORPORATION,HES,26987,87.50
BAKER HUGHES COMPANY,BKR,26936,25.86
"MAXIM INTEGRATED PRODUCTS, INC.",MXIM,26887,100.19
"ALEXANDRIA REAL ESTATE EQUITIES, INC. REIT",ARE,26849,183.53
HORMEL FOODS CORPORATION,HRL,26813,49.64
KEYSIGHT TECHNOLOGIES INC.,KEYS,26718,145.03
DTE ENERGY COMPANY,DTE,26668,137.66
"CONSOLIDATED EDISON, INC.",ED,26486,77.26
REALTY INCOME CORPORATION REIT,O,26374,70.19
"ARISTA NETWORKS, INC.",ANET,26245,343.87
LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,25892,265.18
NORTHERN TRUST CORPORATION,NTRS,25148,120.82
INTERNATIONAL PAPER COMPANY,IP,25146,64.19
"EXPEDIA GROUP, INC.",EXPE,25095,170.75
FORTIVE CORPORATION,FTV,24899,73.55
"WEST PHARMACEUTICAL SERVICES, INC.",WST,24566,332.77
"UNITED RENTALS, INC.",URI,24328,336.12
"VERISIGN, INC.",VRSN,24326,216.00
VULCAN MATERIALS COMPANY (HOLDING COMPANY),VMC,24276,182.99
CERNER CORPORATION,CERN,24184,80.26
"W.W. GRAINGER, INC.",GWW,24151,463.46
D/B/A ROYAL CARIBBEAN CRUISES LTD.,RCL,24113,94.72
AMERISOURCEBERGEN CORPORATION,ABC,23992,116.80
"ONEOK, INC.",OKE,23934,53.72
"MCCORMICK & COMPANY, INCORPORATED",MKC,23933,89.67
DISH NETWORK CORPORATION,DISH,23673,44.89
WESTERN DIGITAL CORPORATION,WDC,23529,76.78
"HARTFORD FINANCIAL SERVICES GROUP, INC. (THE)",HIG,23439,65.62
"DOLLAR TREE, INC.",DLTR,23325,100.56
CDW CORPORATION,CDW,23173,165.28
"FLEETCOR TECHNOLOGIES, INC.",FLT,23112,277.29
REGENCY CENTERS CORPORATION REIT,REG,22877,66.81
KELLOGG COMPANY,K,22721,66.73
"VENTAS, INC. REIT",VTR,22489,56.89
"MARTIN MARIETTA MATERIALS, INC.",MLM,22425,359.56
SEAGATE TECHNOLOGY HOLDINGS PLC,STX,22331,97.57
PPL CORPORATION,PPL,22329,29.02
KEYCORP,KEY,22322,23.00
CLOROX COMPANY (THE),CLX,22228,178.72
REGIONS FINANCIAL CORPORATION,RF,22052,22.94
HALLIBURTON COMPANY,HAL,21976,24.70
DOVER CORPORATION,DOV,21883,152.04
AMEREN CORPORATION,AEE,21865,85.56
"CITIZENS FINANCIAL GROUP, INC.",CFG,21424,50.30
EDISON INTERNATIONAL,EIX,21336,56.23
"TERADYNE, INC.",TER,21335,128.32
XYLEM INC.,XYL,21335,118.50
ENTERGY CORPORATION,ETR,21232,105.81
"CHURCH & DWIGHT COMPANY, INC.",CHD,21143,86.21
DEVON ENERGY CORPORATION,DVN,21099,31.17
"ETSY, INC.",ETSY,21066,165.74
M&T BANK CORPORATION,MTB,20974,163.01
FOX CORPORATION,FOXA,20947,36.62
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",EXPD,20944,124.01
FIRSTENERGY CORP.,FE,20924,38.47
MGM RESORTS INTERNATIONAL,MGM,20872,42.55
FOX CORPORATION,FOX,20784,35.16
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,20688,15.90
INGERSOLL RAND INC.,IR,20612,49.14
EXTRA SPACE STORAGE INC REIT,EXR,20594,153.78
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,20556,177.73
TRACTOR SUPPLY COMPANY,TSCO,20511,177.96
"QORVO, INC.",QRVO,20375,180.97
"GARTNER, INC.",IT,20059,233.04
"ESSEX PROPERTY TRUST, INC. REIT",ESS,20031,307.82
CINCINNATI FINANCIAL CORPORATION,CINF,19873,123.36
"LIVE NATION ENTERTAINMENT, INC.",LYV,19688,90.03
ALBEMARLE CORPORATION,ALB,19629,168.17
TELEDYNE TECHNOLOGIES INCORPORATED,TDY,19610,421.36
TRIMBLE INC.,TRMB,19538,77.85
WATERS CORPORATION,WAT,19515,316.28
"MID-AMERICA APARTMENT COMMUNITIES, INC. REIT",MAA,18975,163.77
"BOSTON PROPERTIES, INC. REIT",BXP,18951,120.12
"THE COOPER COMPANIES, INC.",COO,18878,384.09
CELANESE CORPORATION CELANESE CORPORATION,CE,18823,167.12
"UNITED AIRLINES HOLDINGS, INC.",UAL,18680,57.73
"AKAMAI TECHNOLOGIES, INC.",AKAM,18672,114.56
GENUINE PARTS COMPANY,GPC,18660,129.16
"CONAGRA BRANDS, INC.",CAG,18627,38.81
VIATRIS INC.,VTRS,18625,15.41
CARMAX INC,KMX,18568,113.81
"PAYCOM SOFTWARE, INC.",PAYC,18460,319.41
JACOBS ENGINEERING GROUP INC.,J,18454,141.72
"L BRANDS, INC.",LB,18427,66.07
"HEALTHPEAK PROPERTIES, INC. REIT",PEAK,18421,33.86
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,18418,158.60
AMCOR PLC,AMCR,18409,11.94
TELEFLEX INCORPORATED,TFX,18284,391.24
"RAYMOND JAMES FINANCIAL, INC.",RJF,18263,132.90
INCYTE CORPORATION,INCY,18232,82.90
"ULTA BEAUTY, INC.",ULTA,18232,332.95
"ENPHASE ENERGY, INC.",ENPH,18201,134.13
AVERY DENNISON CORPORATION,AVY,18199,219.25
DUKE REALTY CORPORATION REIT,DRE,18177,48.14
CMS ENERGY CORPORATION,CMS,18140,62.67
"FRANKLIN RESOURCES, INC.",BEN,17924,35.54
"J.B. HUNT TRANSPORT SERVICES, INC.",JBHT,17912,169.51
PRINCIPAL FINANCIAL GROUP INC,PFG,17877,65.72
OMNICOM GROUP INC.,OMC,17665,82.13
EASTMAN CHEMICAL COMPANY,EMN,17608,128.98
POOL CORPORATION,POOL,17594,438.40
"DARDEN RESTAURANTS, INC.",DRI,17592,134.45
"NETAPP, INC.",NTAP,17514,78.68
"BIO-RAD LABORATORIES, INC.",BIO,17354,581.59
"NVR, INC.",NVR,17263,4747.07
"CATALENT, INC.",CTLT,17138,100.61
IDEX CORPORATION,IEX,16948,223.20
"MARKETAXESS HOLDINGS, INC.",MKTX,16872,444.21
QUEST DIAGNOSTICS INCORPORATED,DGX,16740,128.14
THE AES CORPORATION,AES,16703,25.07
"LUMEN TECHNOLOGIES, INC.",LUMN,16569,14.99
DOMINO'S PIZZA INC,DPZ,16508,425.12
"CARDINAL HEALTH, INC.",CAH,16350,56.35
"ROLLINS, INC.",ROL,16284,33.09
NORTONLIFELOCK INC.,NLOK,16273,28.06
STERIS PLC (IRELAND),STE,16217,189.96
HUNTINGTON BANCSHARES INCORPORATED,HBAN,16106,15.82
"TYLER TECHNOLOGIES, INC.",TYL,16104,395.29
"AMERICAN AIRLINES GROUP, INC.",AAL,15990,24.93
"DIAMONDBACK ENERGY, INC. - COMMMON STOCK",FANG,15660,86.52
WESTROCK COMPANY,WRK,15653,58.82
"HOLOGIC, INC.",HOLX,15625,60.98
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,WAB,15624,82.67
"DISCOVERY, INC. - SERIES C",DISCK,15567,29.63
"DISCOVERY, INC. - SERIES A",DISCA,15564,31.63
"PERKINELMER, INC.",PKI,15537,138.61
TEXTRON INC.,TXT,15436,68.39
"MONOLITHIC POWER SYSTEMS, INC.",MPWR,15371,335.94
LOEWS CORPORATION,L,15314,58.19
FMC CORPORATION,FMC,15188,117.85
LKQ CORPORATION,LKQ,15162,50.18
HOWMET AEROSPACE INC.,HWM,15128,34.83
J.M. SMUCKER COMPANY (THE) NEW,SJM,15110,137.88
NEWS CORPORATION,NWSA,15023,25.89
NEWS CORPORATION,NWS,14998,24.48
MASCO CORPORATION,MAS,14996,59.09
CAMPBELL SOUP COMPANY,CPB,14975,49.42
"WYNN RESORTS, LIMITED",WYNN,14929,129.08
"PULTEGROUP, INC.",PHM,14893,56.31
"CENTERPOINT ENERGY, INC (HOLDING CO)",CNP,14739,25.39
"UDR, INC. REIT",UDR,14678,49.05
WHIRLPOOL CORPORATION,WHR,14652,233.96
"LEIDOS HOLDINGS, INC.",LDOS,14643,103.54
ALLIANT ENERGY CORPORATION,LNT,14540,58.13
DENTSPLY SIRONA INC.,XRAY,14533,66.57
"CITRIX SYSTEMS, INC.",CTXS,14472,116.55
"EVERGY, INC.",EVRG,14332,62.51
MOSAIC COMPANY (THE),MOS,14200,37.39
"FORTUNE BRANDS HOME & SECURITY, INC.",FBHS,14099,101.85
"MOHAWK INDUSTRIES, INC.",MHK,14076,201.93
PACKAGING CORPORATION OF AMERICA,PKG,13877,146.08
SNAP-ON INCORPORATED,SNA,13713,253.57
W.R. BERKLEY CORPORATION,WRB,13703,77.25
"UNIVERSAL HEALTH SERVICES, INC.",UHS,13540,158.86
INVESCO LTD,IVZ,13534,29.33
LINCOLN NATIONAL CORPORATION,LNC,13511,70.97
"INTERPUBLIC GROUP OF COMPANIES, INC. (THE)",IPG,13379,34.01
ATMOS ENERGY CORPORATION,ATO,13223,101.19
"HASBRO, INC.",HAS,13147,95.57
IRON MOUNTAIN INCORPORATED (DELAWARE) REIT,IRM,13074,45.54
BORGWARNER INC.,BWA,13024,54.30
"QUANTA SERVICES, INC.",PWR,13023,93.46
MOLSON COORS BEVERAGE COMPANY,TAP,12984,59.80
DAVITA INC.,DVA,12864,121.13
"ABIOMED, INC.",ABMD,12857,283.85
"C.H. ROBINSON WORLDWIDE, INC.",CHRW,12788,96.16
ADVANCE AUTO PARTS INC ADVANCE AUTO PARTS INC W/I,AAP,12507,191.14
HOST HOTELS REIT,HST,12498,17.43
ALLEGION PLC,ALLE,12412,137.94
"LAMB WESTON HOLDINGS, INC.",LW,12229,83.60
NEWELL BRANDS INC.,NWL,12079,28.40
"CBOE GLOBAL MARKETS, INC.",CBOE,11970,112.20
"GAP, INC. (THE)",GPS,11940,31.62
NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,11904,32.18
"TAPESTRY, INC.",TPR,11857,42.52
"CF INDUSTRIES HOLDINGS, INC.",CF,11803,55.02
"JACK HENRY & ASSOCIATES, INC.",JKHY,11573,155.80
PENTAIR PLC.,PNR,11563,69.57
A.O. SMITH CORPORATION,AOS,11044,68.83
"F5 NETWORKS, INC.",FFIV,10973,184.06
"HENRY SCHEIN, INC.",HSIC,10969,77.96
GLOBE LIFE INC.,GL,10957,106.32
COMERICA INCORPORATED,CMA,10947,78.41
MARATHON OIL CORPORATION,MRO,10877,13.80
IPG PHOTONICS CORPORATION,IPGP,10768,200.98
"EVEREST RE GROUP, LTD.",RE,10301,257.00
DXC TECHNOLOGY COMPANY,DXC,10284,40.36
WESTERN UNION COMPANY (THE),WU,10280,25.12
ROBERT HALF INTERNATIONAL INC.,RHI,10158,90.07
NISOURCE INC,NI,9994,25.48
"ASSURANT, INC.",AIZ,9829,162.28
PINNACLE WEST CAPITAL CORPORATION,PNW,9806,86.97
NIELSEN N.V.,NLSN,9755,27.21
KIMCO REALTY CORPORATION REIT,KIM,9640,22.17
ZIONS BANCORPORATION N.A.,ZION,9549,58.29
VORNADO REALTY TRUST REIT,VNO,9478,49.00
"UNDER ARMOUR, INC.",UAA,9403,22.15
"UNDER ARMOUR, INC.",UA,9395,19.06
FEDERAL REALTY INVESTMENT TRUST REIT,FRT,9343,118.55
"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,8876,220.61
RALPH LAUREN CORPORATION,RL,8861,121.14
"JUNIPER NETWORKS, INC.",JNPR,8826,26.93
APA CORPORATION,APA,8792,23.26
SEALED AIR CORPORATION,SEE,8787,57.81
"NRG ENERGY, INC.",NRG,8393,34.29
PEOPLE'S,PBCT,8202,19.18
"ALASKA AIR GROUP, INC.",ALK,8149,65.46
PVH CORP.,PVH,7881,110.59
"LEGGETT & PLATT, INCORPORATED",LEG,7321,54.95
NOV INC.,NOV,6907,17.68
HANESBRANDS INC.,HBI,6808,19.50
CABOT OIL & GAS CORPORATION,COG,6714,16.80
UNUM GROUP,UNM,6460,31.63
PERRIGO COMPANY PLC,PRGO,6324,47.35
VONTIER CORPORATION,VNT,5739,34.00
SL GREEN REALTY CORP REIT,SLG,5690,80.50
HOLLYFRONTIER CORPORATION,HFC,5686,35.00
FLOWSERVE CORPORATION,FLS,5577,42.80
XEROX HOLDINGS CORPORATION,XRX,4605,23.99
